src,dst
1,5
2,6
3,8
4,23
5,36
6,37
7,50
8,55
9,5
10,8
11,13
12,18
13,23
14,24
16,59
17,66
18,69
19,75
20,13
21,23
22,6
23,60
24,80
25,6
26,22
27,23
28,24
29,41
31,50
32,55
33,57
34,59
35,62
37,64
38,66
39,69
40,71
41,76
42,77
43,78
44,80
45,81
46,88
47,23
48,60
49,61
50,74
51,2
52,3
53,7
54,8
55,10
56,11
57,12
58,13
60,18
61,19
62,27
63,29
64,38
65,39
66,40
67,41
69,46
70,50
71,53
72,54
73,55
74,57
75,59
76,60
77,62
78,64
79,65
80,66
81,69
82,71
83,74
84,75
85,76
86,78
87,80
88,84
89,85
90,88
91,23
93,22
94,62
95,8
96,36
97,55
98,36
99,94
100,39
101,41
102,56
103,87
104,17
105,68
106,69
107,87
108,94
109,101
110,6
112,39
113,17
114,74
115,83
116,96
117,93
118,103
119,104
120,25
121,36
122,107
123,25
124,74
125,102
126,93
127,22
128,74
129,69
130,72
131,5
132,33
133,60
134,13
135,103
136,111
137,113
138,22
139,5
140,13
141,116
142,117
143,88
144,8
145,117
146,120
147,119
148,114
149,29
150,121
151,55
152,57
153,117
154,25
155,61
156,46
157,69
158,16
159,46
160,46
161,69
162,122
163,123
164,58
165,58
166,124
167,12
168,114
169,127
170,126
171,127
172,39
173,87
174,124
175,13
176,61
177,128
178,103
179,38
180,24
181,72
182,54
183,83
184,132
185,132
186,117
187,130
188,130
189,130
190,133
191,135
192,131
193,83
195,140
196,142
197,13
198,138
199,140
200,83
201,61
202,142
203,5
204,5
205,24
206,22
207,90
208,90
209,147
210,142
211,148
212,5
213,88
214,17
215,138
216,39
217,88
218,153
219,18
220,90
221,156
222,81
223,154
224,145
225,145
226,154
229,158
230,159
231,159
232,161
233,148
234,163
235,131
236,159
237,164
238,108
239,54
240,159
241,90
242,158
244,169
245,166
246,119
247,74
248,173
249,174
250,175
251,176
252,24
253,177
254,13
255,174
256,178
257,173
258,179
260,62
261,81
262,62
263,181
264,80
265,181
266,183
267,83
268,184
269,184
270,183
271,183
272,186
273,174
274,175
275,188
276,18
277,187
280,23
281,189
282,190
283,190
284,191
285,159
288,85
289,191
290,144
291,154
292,144
293,193
294,159
295,174
296,193
297,187
298,85
299,196
300,197
301,196
302,154
303,178
304,128
305,79
306,128
307,196
308,200
309,199
310,71
311,85
312,87
313,144
314,148
315,166
316,173
317,175
318,183
319,188
320,190
321,132
322,202
323,203
324,103
325,144
326,103
327,144
328,199
329,65
330,204
331,66
332,206
333,114
334,207
336,196
337,212
338,103
339,138
340,196
341,212
342,196
343,199
344,214
345,108
346,218
347,217
348,217
349,79
350,217
351,190
352,187
353,190
354,88
355,211
356,194
357,159
358,169
359,171
360,107
361,88
362,213
363,213
364,215
365,215
366,198
367,62
368,107
369,221
370,215
371,40
372,220
373,222
374,56
375,220
376,13
377,225
378,189
379,199
380,198
381,232
382,232
383,194
384,168
386,38
387,38
388,215
389,210
390,217
391,89
392,62
394,18
396,36
398,230
399,71
400,190
401,190
402,5
403,75
404,240
405,8
406,241
407,24
408,200
409,22
410,148
412,38
413,200
414,218
415,233
416,229
417,240
418,89
420,139
422,58
423,68
424,200
425,216
426,248
427,215
428,220
429,247
430,151
431,151
432,54
433,54
434,90
435,74
436,24
437,178
438,8
439,155
440,34
441,83
442,61
444,170
446,71
447,226
448,196
450,89
451,191
452,252
453,252
454,111
455,34
456,251
457,19
458,68
459,223
460,223
461,103
462,223
463,125
464,194
465,213
466,221
467,223
468,199
469,252
470,253
471,253
472,38
