src,dst
1,3
2,5
3,9
4,5
5,3
6,14
7,18
9,16
10,23
11,43
12,38
13,20
14,46
15,3
16,8
18,36
19,8
20,54
21,77
22,56
23,57
24,73
25,76
27,77
28,57
29,79
30,57
31,54
32,73
33,73
34,56
35,43
36,3
38,73
39,75
41,16
42,65
43,75
44,103
45,73
46,44
47,105
48,103
50,16
51,65
52,38
53,80
54,80
55,59
56,101
57,75
59,116
60,110
62,116
64,118
65,130
66,116
67,130
68,130
69,130
70,134
71,120
73,138
74,116
76,130
77,130
78,145
79,145
80,130
81,130
82,20
83,145
84,7
85,75
86,110
87,130
88,157
89,86
90,143
91,137
92,137
93,150
94,86
95,145
96,101
97,43
98,5
99,134
100,86
101,46
104,188
105,196
106,188
108,25
109,200
110,101
112,54
113,200
114,220
115,167
116,222
117,224
118,225
119,167
120,223
121,225
122,224
123,223
124,25
126,167
127,223
128,118
129,10
130,240
132,241
136,229
137,242
138,134
139,250
140,189
141,261
142,263
143,261
144,263
145,263
146,262
147,254
148,250
149,257
150,263
151,261
152,261
154,267
155,163
156,254
157,274
158,274
159,278
160,263
162,213
163,298
164,298
165,274
168,249
170,163
171,262
172,119
173,244
174,9
175,163
176,301
177,309
178,163
179,232
180,310
182,220
183,10
185,313
186,224
188,304
189,301
190,99
191,316
192,307
193,321
195,138
196,323
197,114
198,285
199,60
200,323
201,268
202,254
205,307
206,43
209,321
211,333
213,333
214,86
215,134
216,127
217,321
218,306
219,7
220,310
221,310
222,302
223,313
224,337
226,337
227,302
228,358
229,10
230,360
231,360
232,358
234,135
235,10
236,310
237,310
239,217
240,134
241,227
242,234
243,226
244,287
245,30
246,215
247,372
249,375
250,368
252,215
253,372
254,372
255,372
256,113
257,385
258,372
261,368
262,344
263,344
264,395
265,386
266,386
267,154
268,293
269,192
270,262
271,400
272,165
273,217
274,410
275,399
276,415
277,133
278,13
279,405
280,402
281,402
282,217
283,349
284,404
285,352
286,424
287,346
288,113
289,113
290,260
291,348
292,135
294,36
295,428
298,223
300,437
301,410
302,244
303,457
304,461
305,464
306,450
307,450
308,464
310,133
311,185
312,457
313,247
314,262
315,423
316,423
317,479
318,461
319,151
320,483
321,262
322,411
323,485
324,483
325,48
326,490
327,492
328,490
329,498
330,498
331,498
332,503
333,168
334,460
335,151
336,498
337,423
338,423
339,411
340,328
341,36
342,461
343,155
344,517
345,11
346,517
347,520
348,411
349,479
350,26
352,26
353,113
354,452
355,498
356,520
358,519
359,498
360,26
361,494
362,155
364,532
365,532
367,494
370,501
371,534
372,452
373,486
374,541
375,518
376,520
377,520
378,26
382,519
383,501
384,486
385,541
387,555
388,541
390,455
391,557
392,557
393,556
394,557
395,565
396,566
397,470
398,411
399,26
400,566
401,563
402,534
404,563
406,563
407,529
408,529
412,579
413,121
414,118
415,311
416,532
417,579
419,121
420,470
421,581
422,579
423,121
424,574
425,588
427,121
428,118
429,527
430,566
431,529
432,579
433,579
434,587
436,574
437,585
438,590
439,121
441,573
442,573
444,587
445,93
446,529
447,590
448,587
449,512
450,588
451,587
453,603
454,605
455,604
457,603
458,13
459,587
460,593
461,501
462,411
463,604
464,596
465,594
466,534
467,244
468,501
469,603
470,604
471,590
473,512
474,50
475,47
476,194
477,242
478,242
479,608
481,614
482,614
483,614
484,185
485,615
486,613
487,611
488,611
492,26
493,50
494,2
495,206
496,109
497,244
498,603
499,615
500,615
502,596
503,566
504,596
505,608
506,566
507,457
508,566
509,608
510,570
511,608
512,625
513,600
514,609
515,411
517,25
518,614
519,614
520,614
522,93
527,581
528,632
529,632
530,567
531,608
532,636
533,636
534,635
535,636
536,636
537,625
538,26
539,50
540,609
541,130
542,641
544,645
545,650
547,652
549,652
550,652
551,650
552,652
553,647
554,650
555,648
556,655
558,652
559,652
560,648
562,643
565,648
566,658
567,652
568,656
569,660
570,648
571,652
572,658
573,652
574,600
575,641
577,165
579,660
581,672
583,658
589,262
590,652
592,667
593,673
594,652
595,652
597,675
598,651
599,673
600,667
601,685
602,685
603,479
604,685
605,687
607,685
610,13
612,194
613,675
615,349
616,570
617,702
618,702
619,612
620,712
621,495
623,732
624,675
625,242
626,744
627,705
628,612
629,675
630,686
631,749
632,734
634,734
636,705
637,759
638,759
640,748
642,741
643,693
644,337
645,337
646,695
647,768
648,769
649,618
650,674
652,579
653,769
654,769
655,769
656,252
657,780
658,772
660,744
661,790
662,790
664,349
665,47
666,790
667,704
668,428
669,1
670,801
671,794
672,799
674,804
675,720
676,486
677,779
678,779
679,660
680,677
681,750
682,811
683,799
684,779
685,815
686,779
687,787
688,252
689,307
690,783
691,825
692,820
693,827
694,825
695,828
696,828
697,828
698,825
699,827
700,825
701,822
702,827
703,830
704,658
705,744
706,658
707,658
708,834
709,658
710,834
711,827
712,754
713,478
714,842
716,709
717,847
718,846
719,806
720,744
721,680
722,731
723,680
724,845
725,349
726,850
727,858
728,734
729,845
730,845
731,845
732,841
733,834
735,674
736,815
737,868
738,869
739,705
740,870
741,866
742,870
743,870
744,858
745,497
747,835
748,497
749,252
750,789
751,880
752,880
753,887
755,886
756,890
759,886
