src,dst
1,13
2,13
3,13
4,37
5,5
6,23
7,36
9,78
11,5
12,54
13,24
14,74
15,24
16,13
18,68
19,6
21,8
22,104
23,74
24,107
25,22
27,55
28,69
29,55
30,87
31,55
32,5
33,22
35,33
36,13
38,13
39,13
41,120
42,47
43,69
44,74
45,22
46,46
47,5
48,122
50,8
51,8
52,61
53,58
54,58
55,8
56,13
57,13
59,8
60,117
62,61
64,88
65,88
66,8
67,5
68,13
69,5
70,88
71,83
73,5
74,66
76,90
77,88
78,22
79,13
80,13
81,88
83,88
84,88
85,88
86,61
87,90
88,13
89,159
90,131
91,131
92,131
93,74
94,13
95,71
96,13
97,173
98,1356
99,174
100,174
101,62
104,6
105,87
106,61
108,74
109,175
110,187
112,187
113,174
114,195
115,144
116,144
117,5
118,196
119,159
120,5
121,173
122,128
123,199
124,69
126,144
127,79
128,196
129,196
130,159
132,159
136,196
137,87
138,87
139,88
140,214
141,217
142,217
143,159
144,190
145,217
146,217
147,213
148,171
149,107
150,190
151,107
152,159
154,88
155,62
156,213
157,62
158,90
159,56
160,56
162,5
163,56
164,5
165,62
168,8
170,81
171,22
172,217
173,22
174,229
175,62
176,88
177,71
178,81
179,22
180,62
183,24
185,62
186,5
188,220
189,8
190,22
191,22
192,8
193,5
195,3807
196,5
197,3807
198,22
199,22
200,3807
201,22
202,213
205,229
206,74
209,88
211,5
213,74
214,13
215,13
216,247
217,220
218,71
219,38
220,90
221,90
222,90
223,226
224,3807
226,88
227,196
228,3807
229,196
230,71
231,71
232,88
234,196
235,196
237,90
239,191
240,174
241,191
242,191
243,191
245,68
246,173
247,190
249,56
250,190
252,223
253,252
254,253
255,252
256,223
257,88
258,5
262,217
263,88
264,88
265,56
266,223
267,6
268,46
269,46
270,46
271,46
272,88
273,5
274,219
275,36
276,89
277,23
278,59
279,210
280,71
281,71
282,13
283,247
284,71
285,247
286,13
288,39
289,39
290,88
291,24
292,39
294,219
295,247
298,215
300,89
301,56
302,212
303,90
304,259
305,259
306,77
307,88
308,88
310,139
311,110
313,13
314,253
315,13
316,5
317,210
318,210
319,223
320,223
321,214
322,223
323,88
324,88
325,223
326,88
327,88
328,223
329,62
330,190
331,190
332,62
333,223
334,223
335,81
337,190
338,5
339,89
340,229
341,270
342,71
343,88
345,88
346,190
347,190
348,89
349,270
350,247
353,223
354,223
355,74
356,247
358,77
359,62
360,35
361,159
362,5
364,223
365,223
367,88
370,159
371,229
372,215
373,266
374,266
375,166
376,166
377,190
378,247
382,270
383,88
384,88
385,88
387,223
388,174
390,174
392,174
393,174
394,215
395,5
396,88
397,5
398,89
399,35
400,5
401,88
402,260
406,196
407,114
412,196
413,223
414,223
415,223
416,223
417,88
419,7
420,7
421,240
422,159
423,61
424,190
425,190
427,223
428,223
429,223
430,223
431,196
432,88
433,88
434,88
436,88
437,88
438,190
439,61
441,200
442,190
444,251
445,223
448,159
449,210
450,61
451,88
453,88
454,88
457,30
458,30
459,196
460,196
461,159
462,223
463,223
464,223
465,223
466,223
467,223
468,88
469,88
470,88
471,159
473,159
474,223
475,223
476,223
477,223
478,223
479,88
481,88
482,88
483,5
484,74
485,144
486,90
488,223
492,223
493,223
494,223
495,223
496,223
497,13
498,30
499,88
500,88
502,88
503,88
504,240
505,196
