src,dst
1,8
2,8
3,8
4,24
5,24
6,24
7,18
8,18
9,18
10,18
11,23
12,23
13,23
14,23
15,2000000001
16,5
17,5
18,5
19,38
20,38
21,38
22,37
23,37
24,37
25,50
26,2000000001
27,24
28,24
29,24
30,34
31,34
32,34
33,5
34,23
35,36
36,2000000001
37,6
38,6
39,23
40,8
41,2000000001
45,36
46,55
47,37
48,59
49,59
50,59
51,66
52,66
53,66
54,69
55,69
56,69
57,61
58,2000000001
59,69
60,69
61,69
62,75
63,75
64,75
65,68
67,2000000001
68,36
69,69
70,69
71,69
72,13
73,13
74,13
75,5
76,69
77,69
78,69
79,79
80,80
81,54
82,54
83,54
84,8
85,8
86,8
88,61
89,59
90,59
91,59
92,69
93,69
94,69
95,60
96,83
97,80
98,2000000001
99,74
100,13
101,68
102,68
103,68
104,55
105,62
106,13
107,22
108,22
109,22
110,36
111,5
112,62
113,62
114,62
115,68
116,68
117,68
118,36
119,17
120,17
121,17
122,55
123,55
124,55
125,56
127,69
128,68
129,68
130,68
131,39
132,41
133,74
134,58
135,58
136,58
137,87
138,5
139,8
140,41
141,36
143,56
144,69
145,22
146,36
147,58
148,39
149,96
150,22
151,22
152,22
153,88
154,69
155,69
156,69
157,5
158,74
159,8
160,25
161,39
162,93
163,69
165,39
166,74
167,5
168,41
169,22
170,22
171,87
172,13
175,55
176,5
177,22
178,87
180,61
181,61
182,61
183,88
185,2000000001
186,8
187,57
188,57
189,57
190,5
191,114
192,114
193,114
194,39
195,74
196,88
197,2000000001
198,117
199,117
200,117
202,22
203,5
204,5
205,5
206,5
207,74
208,69
209,46
210,2000000001
214,46
215,2000000001
216,39
217,5
218,2000000001
219,25
220,25
221,25
222,61
223,8
224,8
225,8
226,124
227,12
228,2000000001
229,39
230,39
231,39
232,39
233,87
235,8
236,8
237,8
238,127
239,2000000001
241,72
242,36
243,83
244,83
245,83
246,24
247,24
248,88
249,8
250,41
251,61
255,130
256,131
257,131
258,131
259,5
260,5
261,5
262,5
263,8
264,5
265,2000000001
266,61
267,2000000001
268,132
269,132
270,132
271,8
272,2000000001
273,5
274,90
275,90
276,90
277,5
278,22
279,2000000001
280,139
281,8
282,138
283,138
284,138
285,5
286,39
290,13
291,13
292,74
293,142
294,142
295,142
296,5
297,61
299,88
301,142
302,2000000001
303,8
304,13
305,24
306,88
307,22
308,138
309,138
310,138
311,22
312,138
313,39
314,144
315,144
316,144
317,142
318,2000000001
319,90
320,130
321,2000000001
322,74
323,88
324,25
325,2000000001
326,74
327,81
331,145
332,108
333,154
334,154
335,154
336,148
337,148
338,148
339,81
340,36
341,154
343,145
344,2000000001
345,158
346,2000000001
347,154
348,154
349,154
350,74
351,81
352,158
353,2000000001
354,74
355,74
356,74
357,148
358,154
359,154
360,154
361,154
362,159
363,8
364,8
365,8
366,57
367,159
368,2000000001
369,8
370,8
371,8
372,159
373,74
374,71
375,71
376,71
377,159
378,159
379,13
380,13
381,13
382,81
383,159
384,74
385,2000000001
386,148
387,13
388,159
389,90
390,2000000001
391,159
392,159
393,159
394,74
395,159
396,159
397,166
398,166
399,166
400,2000000001
401,2000000001
402,159
403,74
404,74
405,80
407,119
408,61
410,173
411,25
412,148
413,173
414,1356
415,1356
416,1356
418,175
419,175
420,175
421,173
422,173
423,173
424,62
425,87
426,87
427,87
428,5
429,61
430,5
431,87
432,5
433,174
434,61
435,83
436,183
437,183
438,183
439,183
440,183
441,183
442,2000000001
443,183
444,187
445,187
446,187
447,188
448,188
449,188
450,18
452,74
453,174
454,183
455,187
456,190
457,190
458,190
459,159
460,159
461,159
462,40
463,187
464,191
465,191
466,191
467,5
468,187
469,5
470,154
471,85
472,85
473,85
474,174
475,159
476,154
477,159
478,191
479,191
480,191
481,85
482,79
483,79
484,79
485,128
486,128
487,128
488,196
489,196
490,196
491,154
492,173
493,144
494,10
495,159
496,173
497,81
498,199
499,103
500,2000000001
502,198
503,128
504,13
505,144
506,103
507,103
508,13
509,144
510,138
511,199
512,138
514,114
515,196
516,199
517,199
518,199
519,196
520,13
521,196
522,198
523,13
524,13
525,171
526,211
527,2000000001
528,13
529,81
530,196
531,13
532,213
533,213
534,213
535,81
536,87
537,171
541,196
542,81
543,2000000001
544,215
545,8
546,88
547,217
548,217
549,217
550,217
551,217
552,217
553,217
554,217
555,217
556,217
557,217
558,2000000001
559,217
560,2000000001
561,159
562,8
563,190
564,8
565,217
566,88
567,190
568,88
569,88
570,144
571,128
572,194
573,194
574,194
575,8
576,8
577,190
578,107
579,62
580,62
581,62
582,90
583,90
584,90
585,8
586,216
587,216
588,213
589,213
590,90
591,88
592,215
593,90
594,90
595,90
596,215
597,215
598,215
599,221
600,221
601,221
602,62
603,221
604,215
605,2000000001
606,81
607,81
608,215
609,215
610,215
611,81
612,215
613,183
614,88
615,211
616,90
617,90
618,90
619,220
620,220
621,220
622,80
623,189
624,189
625,189
626,211
627,56
628,211
629,211
630,81
631,62
632,127
633,56
634,2000000001
635,125
636,125
637,125
638,5
639,56
640,5
641,8
642,81
643,199
644,196
646,196
647,190
648,190
649,196
650,196
651,196
652,5
653,229
655,81
656,22
657,88
659,89
660,8
661,62
662,81
663,81
667,24
668,226
669,5
670,24
671,36
672,36
673,36
674,2000000001
675,56
676,2000000001
678,36
679,71
680,61
681,190
683,5
684,13
685,220
686,220
687,220
688,3807
689,3807
690,3807
691,24
692,24
693,24
694,3807
695,2000000001
696,3807
697,2000000001
701,3807
702,2000000001
704,3807
705,75
706,75
707,75
708,5
709,5
714,61
717,5
719,74
726,88
727,89
728,218
729,88
730,74
731,13
732,13
733,13
734,88
735,88
736,88
737,13
738,13
739,139
740,88
741,2000000001
742,88
743,2000000001
744,88
745,24
746,2000000001
747,247
748,247
749,247
750,247
751,24
752,220
753,220
754,15
755,24
756,54
757,54
758,178
759,71
760,38
761,38
762,16
763,2000000001
764,8
766,61
767,3807
768,3807
769,3807
770,158
771,8
772,54
773,24
774,3807
775,88
776,90
777,90
778,90
779,88
780,170
781,2000000001
782,3807
783,196
784,196
785,196
786,71
787,226
788,74
789,74
790,74
794,74
796,226
797,226
798,90
799,2000000001
804,191
805,191
806,191
807,159
808,2000000001
810,34
811,2000000001
812,252
813,252
814,252
815,252
816,252
817,252
818,252
819,252
820,252
821,252
822,252
823,252
824,61
825,173
826,68
827,190
828,190
829,88
830,190
831,190
832,223
833,103
834,190
835,251
836,190
837,190
838,190
839,223
840,190
841,69
842,2000000001
843,251
844,2000000001
845,199
847,190
848,74
849,2000000001
852,252
853,252
854,251
855,108
857,223
858,2000000001
860,88
861,210
862,210
863,210
864,210
868,8
869,190
870,5
871,190
872,210
873,256
874,226
875,256
876,46
877,190
878,190
879,256
880,256
881,56
882,219
883,219
884,219
885,56
886,89
887,89
888,89
889,8
890,219
891,223
892,89
893,89
894,89
895,89
896,223
897,2000000001
898,215
899,251
900,2000000001
901,77
902,77
903,77
904,215
905,210
906,89
907,219
908,219
909,219
910,219
911,247
912,2000000001
913,5
914,5
915,5
916,5
917,88
918,2000000001
919,13
920,2000000001
924,8
925,215
926,210
927,39
928,251
929,215
930,2000000001
931,8
932,2000000001
933,5
934,2000000001
935,39
936,215
937,88
938,2000000001
940,215
941,2000000001
942,215
943,2000000001
944,215
945,30
946,2000000001
947,36
948,2000000001
949,36
950,36
951,2000000001
952,215
956,215
957,215
958,2000000001
959,215
960,77
961,215
962,88
964,88
965,215
966,215
967,215
968,215
969,74
970,2000000001
971,62
972,13
973,2000000001
974,13
975,39
977,138
978,226
979,259
980,259
981,259
982,61
983,71
984,88
985,90
986,2000000001
987,88
988,90
989,115
990,115
991,115
992,2000000001
993,132
994,8
995,8
996,251
997,251
998,2000000001
999,88
1000,36
1001,2000000001
1002,168
1003,2000000001
1004,61
1005,2000000001
1006,251
1007,159
1009,260
1010,260
1011,253
1012,251
1013,251
1014,251
1015,2000000001
1016,128
1017,223
1018,223
1019,223
1020,199
1021,199
1022,199
1023,190
1024,88
1026,88
1027,183
1028,183
1029,183
1030,266
1031,266
1032,266
1033,266
1034,2000000001
1035,183
1036,2000000001
1037,214
1038,223
1039,223
1040,223
1041,268
1042,2000000001
1043,210
1044,210
1045,210
1046,268
1047,2000000001
1048,88
1049,214
1050,190
1051,190
1052,223
1053,62
1054,62
1055,62
1056,267
1057,267
1058,267
1059,190
1060,88
1061,2000000001
1063,256
1064,5
1065,88
1066,2000000001
1067,88
1068,223
1069,223
1070,215
1071,267
1072,267
1073,215
1074,215
1075,215
1076,266
1078,266
1079,2000000001
1080,183
1081,183
1082,183
1083,3807
1084,2000000001
1085,33
1086,260
1087,266
1088,270
1089,251
1090,251
1091,88
1092,68
1093,68
1094,68
1095,88
1096,270
1097,190
1098,190
1099,68
1100,18
1101,39
1102,39
1103,74
1104,39
1108,247
1109,88
1110,88
1111,88
1112,74
1113,88
1114,114
1115,114
1116,114
1117,3807
1119,159
1120,159
1121,74
1122,159
1123,251
1124,159
1125,159
1126,159
1127,251
1128,251
1132,251
1134,260
1135,260
1136,174
1137,174
1138,174
1139,183
1140,159
1141,251
1142,183
1143,183
1144,183
1146,273
1147,183
1148,2000000001
1149,88
1150,215
1151,266
1152,266
1153,266
1154,190
1155,260
1158,270
1159,5
1160,215
1161,215
1162,215
1163,215
1167,215
1168,215
1169,3807
1170,190
1171,215
1173,77
1174,39
1175,39
1176,39
1177,5
1178,5
1179,88
1180,5
1181,215
1182,5
1183,5
1184,5
1185,215
1186,215
1187,215
1188,215
1189,215
1190,215
1191,5
1192,5
1193,88
1194,190
1195,92
1196,2000000001
1197,92
1198,5
1199,251
1200,251
1201,251
1202,217
1203,251
1204,251
1205,88
1206,88
1207,190
1208,190
1209,190
1210,88
1211,196
1212,196
1213,196
1215,36
1216,196
1217,196
1218,196
1219,114
1220,196
1221,88
1224,99
1225,99
1226,99
1227,108
1228,108
1229,39
1230,39
1231,240
1232,240
1234,39
1236,251
1237,159
1238,61
1239,61
1240,190
1241,190
1242,190
1243,200
1244,190
1245,57
1246,2000000001
1247,57
1248,190
1249,218
1250,5
1251,246
1253,39
1254,240
1255,240
1256,240
1257,61
1258,223
1259,240
1260,240
1261,240
1262,240
1263,22
1264,2000000001
1265,61
1266,30
1267,88
1269,88
1270,88
1271,88
1272,30
1273,165
1274,165
1275,165
1276,88
1277,54
1278,30
1279,2000000001
1280,30
1281,196
1282,196
1283,196
1284,196
1285,196
1286,223
1287,159
1289,223
1290,223
1291,190
1292,240
1293,165
1294,223
1295,223
1296,144
1297,144
