src,dst
108,395
145,548
217,375
263,769
264,769
272,790
281,715
338,834
360,614
478,222
479,222
558,886
559,886
583,1205
587,1194
661,1289
668,1437
681,1385
716,1501
717,1501
726,1207
737,1536
740,1521
754,1413
776,1583
781,1272
831,672
836,1601
837,1601
855,1580
875,1749
880,396
895,1780
901,887
909,1813
914,1454
939,1352
955,1955
1006,924
1068,2093
1069,2093
1073,2149
1082,2086
1083,2086
1095,2154
1131,490
1134,2140
1135,2067
1140,354
1143,145
1153,2171
1154,2171
1156,2223
1169,1676
1210,2282
1211,2282
1224,880
1283,2401
1307,2385
8809,2410
10783,2423
17469,26
18942,652
22399,2476
23659,2597
26940,1223
28839,1799
28840,1799
29591,1995
30954,2670
31174,1460
32441,1016
33045,2742
34666,2602
34884,1761
35150,2245
36817,2787
36818,2787
36867,1815
36868,1815
38448,2248
38449,2248
38533,195
38800,2615
39025,2846
41963,2894
42256,2892
42257,2892
45213,2938
46450,485
46451,485
48587,3061
48709,2828
49737,1001
51512,3091
51513,3091
54696,3100
56446,3167
56522,3156
59018,3201
59019,3201
59020,3201
59021,3201
60212,3038
60213,3038
60286,3207
60919,534
62187,3276
63529,3286
64695,3270
65209,3338
65383,1904
65866,2291
66354,3359
66575,203
67211,3238
67212,3238
67552,3244
67842,2910
68036,3369
68037,3369
68038,3369
68409,3200
68410,3200
68438,3331
68439,3331
68816,3333
69573,3392
69793,3287
70012,3395
70711,346
71072,134
71553,138
72473,2197
74418,3460
74639,3458
74640,3458
74930,1062
76682,3526
78440,1441
79545,3599
80174,3586
80535,3549
80633,3589
80923,3383
81335,3324
81650,1610
82884,3542
83998,3661
83999,3661
85270,3685
86097,1224
86853,973
86903,3194
87342,3713
87463,499
87464,499
87465,3101
88210,3746
88211,3746
89036,1015
89037,1015
90125,3752
90394,3762
91229,3810
91230,3810
91231,3704
92603,3463
92604,3463
92726,3556
92801,3845
94250,3822
95316,3069
95485,3814
95486,3814
95584,3879
96141,1337
96168,3818
97223,3734
97538,3911
98127,3926
98128,3926
98157,3943
98752,3958
98753,3958
98754,3958
100255,2032
100497,1576
100498,1576
100499,1576
101352,3893
101476,3907
101669,3999
101936,4013
102009,4009
102058,3989
104677,4093
106296,4142
106602,4150
112612,2576
116088,4172
122839,4298
122840,4298
123791,4312
124142,4175
126543,4364
126569,4354
131345,4466
131371,1980
132522,4485
132523,4485
134924,4500
136400,4568
136426,4569
137577,4606
142554,4708
142955,4734
143731,4753
148507,4839
149433,4854
149909,4877
151785,4914
151811,4914
151812,4914
153113,4949
153839,118
154340,4970
156886,5026
156887,5026
159238,5078
160039,5097
168040,5181
170516,5191
175642,5249
175668,5238
180594,5306
181695,5333
182821,5359
185122,5382
189248,5450
189774,5465
190875,4991
191901,5517
193027,5542
193228,5542
195354,5560
195380,5572
199681,5591
203933,5700
204934,4172
206110,5724
208111,5750
208962,5728
213138,5819
214739,4551
217790,5912
218142,5912
218418,5918
227119,6033
229245,6050
231296,6066
231322,6063
233298,6081
233299,6081
235025,6093
240104,6139
240605,6147
242507,6169
246510,6226
246936,6219
247062,6234
247213,6151
248389,6234
248665,6243
255817,6302
255868,6337
256019,6342
258145,6353
258646,6379
259772,6400
260323,6355
261149,6418
261475,6421
262101,6433
263953,6454
265604,6475
266830,6478
267056,6487
268357,6499
269533,6538
269759,1875
272210,6599
272286,6601
272512,6604
273064,2272
273990,6652
274591,2641
274592,6664
274968,6670
276844,2356
277470,6652
277496,6753
277572,6753
278798,2356
279749,6814
279950,6807
280001,2742
280202,6840
281653,4350
282204,6883
282255,6867
282331,6876
283507,6943
283783,6950
283784,6950
284385,6966
284411,6967
284887,6976
284963,6978
287515,2492
287591,2492
288492,6225
288619,7074
288670,7084
288671,7084
288672,7084
290023,7100
290049,7112
290725,7110
291076,7152
291077,7155
291078,7155
291079,7153
291930,7190
291931,7139
292882,7225
294059,7258
295635,7293
295811,7307
295887,7313
295913,7115
296539,1432
297015,7336
297066,7268
300143,7426
301369,7450
302320,7476
303321,7505
304047,7476
305448,7528
306149,7546
306175,7521
307227,7610
307478,7613
307729,7638
307880,7637
311781,4383
319107,7668
321258,6907
321259,7630
327210,7675
346836,7732
358039,7742
358590,7829
359916,7865
360117,7813
360293,7845
360294,7845
360495,5733
362647,7912
362648,7912
362974,7923
362975,7919
365051,7815
365052,2516
365053,7959
367429,8021
367530,8025
368081,8033
368157,8029
369233,8071
369759,8063
370960,8103
372637,8147
373613,8168
373864,8159
374090,8185
374316,8180
374517,8196
375168,8185
375344,8196
375745,7853
376121,8225
376522,8239
376548,8232
376574,8239
377100,8246
377726,8237
379403,8299
379829,8300
380555,8321
380581,8321
381257,8328
381633,7996
382734,8340
382860,8358
383486,8377
383512,8377
383688,8157
383814,8335
385890,8380
386716,8347
387743,8470
387994,8446
388020,8470
388521,8483
389222,8455
389723,8511
390274,8524
390575,8557
390576,8559
392452,8581
392478,8586
392479,8604
392505,8566
392656,8614
392758,8617
393811,8634
393812,8634
394663,8661
398667,8769
398918,8777
399319,8784
400020,8799
400796,8791
401072,7430
401073,7430
404049,8877
404050,8877
410701,8891
