src,dst
108,173
145,539
217,30
263,31
264,6
272,298
281,7
338,577
360,170
478,213
479,146
558,6
559,372
583,856
587,6
661,53
668,1289
681,1268
716,7
717,973
726,1142
737,1052
740,6
754,1583
776,1412
781,47
831,22
836,1444
837,1386
855,1149
875,1123
880,257
895,124
901,841
909,575
914,899
939,1815
955,1645
1006,920
1068,1687
1069,1112
1073,1709
1082,1961
1083,539
1095,1228
1131,880
1134,1169
1135,2024
1140,118
1143,7
1153,224
1154,216
1156,1963
1169,73
1210,1676
1211,2269
1224,490
1283,2374
1307,1289
8809,1292
10783,414
17469,118
18942,421
22399,369
23659,183
26940,1142
28839,859
28840,1324
29591,1799
30954,665
31174,1444
32441,577
33045,1812
34666,2516
34884,485
35150,534
36817,276
36818,166
36867,1352
36868,2770
38448,203
38449,10
38533,411
38800,2572
39025,2597
41963,1807
42256,2860
42257,2572
45213,2918
46450,414
46451,1761
48587,3062
48709,1826
49737,411
51512,1995
51513,2628
54696,2966
56446,257
56522,2639
59018,1848
59019,2689
59020,1
59021,2563
60212,305
60213,726
60286,2917
60919,36
62187,2957
63529,1001
64695,3287
65209,3286
65383,1906
65866,369
66354,2066
66575,10
67211,2777
67212,3331
67552,2956
67842,2768
68036,1576
68037,2742
68038,612
68409,1016
68410,3252
68438,2777
68439,3238
68816,2483
69573,3244
69793,3270
70012,3199
70711,3372
71072,3372
71553,75
72473,1385
74418,1980
74639,2306
74640,2410
74930,1045
76682,1133
78440,1430
79545,3561
80174,359
80535,3561
80633,328
80923,2067
81335,563
81650,22
82884,3158
83998,1015
83999,527
85270,2597
86097,499
86853,7
86903,30
87342,3685
87463,3200
87464,3252
87465,685
88210,213
88211,2493
89036,3661
89037,3539
90125,3556
90394,1015
91229,539
91230,548
91231,3653
92603,3115
92604,1881
92726,3752
92801,3708
94250,3672
95316,1595
95485,3460
95486,499
95584,3842
96141,423
96168,206
97223,643
97538,1611
98127,575
98128,1266
98157,3730
98752,3
98753,73
98754,1676
100255,652
100497,612
100498,2742
100499,3369
101352,3252
101476,3611
101669,2691
101936,665
102009,1015
102058,4017
104677,222
106296,4146
106602,899
112612,2401
116088,859
122839,4220
122840,3316
123791,4175
124142,4312
126543,4354
126569,4364
131345,1980
131371,4466
132522,3207
132523,2917
134924,4530
136400,4539
136426,939
137577,4298
142554,2492
142955,1576
143731,4267
148507,3270
149433,4272
149909,138
151785,834
151811,577
151812,3392
153113,4942
153839,354
154340,4766
156886,1521
156887,6
159238,1797
160039,5093
168040,5107
170516,5011
175642,5238
175668,5249
180594,3702
181695,5171
182821,1576
185122,1848
189248,5184
189774,4768
190875,2149
191901,152
193027,1
193228,5181
195354,3194
195380,3466
199681,1164
203933,2432
204934,527
206110,4334
208111,5747
208962,4830
213138,4220
214739,5808
217790,2234
218142,6
218418,2306
227119,5700
229245,5360
231296,6050
231322,4551
233298,2492
233299,2824
235025,421
240104,5750
240605,5504
242507,3921
246510,5686
246936,6039
247062,3158
247213,3006
248389,4211
248665,6096
255817,6268
255868,6127
256019,6337
258145,2619
258646,5171
259772,6308
260323,6314
261149,6358
261475,1883
262101,5347
263953,3652
265604,5617
266830,5443
267056,4030
268357,5782
269533,414
269759,2275
272210,5196
272286,155
272512,4517
273064,2182
273990,2356
274591,665
274592,5700
274968,168
276844,6493
277470,1525
277496,798
277572,5573
278798,2272
279749,1028
279950,6780
280001,6575
280202,6814
281653,2981
282204,6856
282255,5504
282331,6807
283507,3890
283783,6856
283784,1812
284385,1164
284411,6856
284887,1980
284963,6920
287515,7022
287591,2516
288492,3038
288619,6455
288670,7022
288671,2
288672,2492
290023,4239
290049,6478
290725,812
291076,1444
291077,213
291078,1444
291079,2770
291930,4023
291931,2245
292882,2121
294059,7209
295635,2615
295811,2547
295887,7115
295913,7313
296539,1412
297015,3532
297066,980
300143,7040
301369,6780
302320,2917
303321,4884
304047,7426
305448,7426
306149,5344
306175,6330
307227,3458
307478,2467
307729,3623
307880,3614
311781,4239
319107,6795
321258,7630
321259,6907
327210,3874
346836,7727
358039,4978
358590,6763
359916,7319
360117,256
360293,798
360294,4810
360495,7515
362647,7630
362648,6907
362974,203
362975,4612
365051,2516
365052,7815
365053,346
367429,7977
367530,1773
368081,5504
368157,5913
369233,3730
369759,3730
370960,7258
372637,5347
373613,2910
373864,5026
374090,7975
374316,2469
374517,8192
375168,7376
375344,7853
375745,8196
376121,138
376522,8232
376548,8239
376574,1761
377100,5534
377726,5135
379403,2828
379829,5750
380555,4099
380581,8237
381257,6364
381633,8340
382734,7996
382860,8187
383486,652
383512,170
383688,8021
383814,8358
385890,7772
386716,8419
387743,8419
387994,7542
388020,4220
388521,3386
389222,2906
389723,3559
390274,5171
390575,8513
390576,8236
392452,485
392478,841
392479,3400
392505,7813
392656,7238
392758,8358
393811,7630
393812,6907
394663,4832
398667,3947
398918,1708
399319,8718
400020,8797
400796,6498
401072,8104
401073,8477
404049,8846
404050,3634
410701,6195
419927,10
419928,8071
419929,3730
421655,8662
426956,1399
427407,8899
432659,1444
432660,298
