src,dst
1,8
2,24
3,18
4,23
5,23
6,5
7,38
8,37
9,50
10,24
11,34
12,5
13,23
14,36
15,6
16,8
18,36
19,55
20,37
21,59
22,66
23,69
24,61
25,69
26,75
27,68
29,36
30,69
31,13
32,5
33,69
34,79
35,54
36,8
38,61
39,59
40,69
41,83
42,80
43,74
44,68
45,55
46,62
47,22
48,36
49,5
50,62
51,68
52,36
53,17
54,55
55,56
57,69
58,68
59,39
60,41
61,74
62,58
63,87
64,5
65,8
66,41
67,36
69,56
70,22
71,36
72,96
73,22
74,88
75,69
76,5
77,74
78,8
79,25
80,93
81,69
83,5
84,41
85,87
86,13
89,55
90,22
91,87
93,61
94,88
95,57
96,5
97,114
98,39
99,88
100,117
102,22
103,5
104,74
105,46
107,46
108,5
109,25
110,61
111,8
112,12
113,39
114,8
115,127
116,72
117,36
118,83
119,88
120,41
121,61
123,130
124,131
125,5
126,5
127,61
128,132
129,8
130,90
131,5
132,22
133,139
134,138
135,39
137,74
138,142
139,5
140,88
141,142
142,8
143,88
144,22
145,138
146,144
147,142
148,130
149,74
150,25
151,81
153,145
154,108
155,154
156,148
157,36
159,145
160,158
161,154
162,74
163,81
164,158
165,74
166,154
167,159
168,8
169,159
170,8
171,159
172,74
173,71
174,159
175,13
176,81
177,159
178,74
179,159
180,90
181,159
182,74
183,166
184,159
185,80
187,119
188,61
189,173
190,25
191,173
192,1356
194,175
195,173
196,87
197,5
198,61
199,5
200,174
201,183
202,183
203,183
204,183
205,187
206,188
208,74
209,174
210,183
211,187
212,190
213,159
214,40
215,187
216,191
217,5
218,187
219,154
220,85
221,159
222,191
223,79
224,128
225,196
226,173
227,144
228,10
229,159
230,173
231,199
232,103
234,198
235,13
236,138
237,199
238,138
240,114
241,196
242,199
243,196
244,13
245,196
246,198
247,171
248,211
249,213
250,171
252,81
253,215
254,8
255,88
256,217
257,217
258,217
259,217
260,217
261,159
262,8
263,190
264,217
265,88
266,128
267,194
268,107
269,62
270,90
271,8
272,216
273,216
274,90
275,88
276,90
277,215
278,221
279,62
280,221
281,215
282,81
283,215
284,215
285,183
286,211
287,90
288,220
289,80
290,189
291,211
292,56
293,211
294,211
295,62
296,127
297,56
298,125
299,5
300,56
301,8
302,196
304,196
305,196
306,5
307,229
308,22
309,88
311,89
313,226
314,5
315,36
316,36
317,56
319,71
320,61
321,220
322,3807
323,3807
324,3807
326,3807
327,3807
328,75
329,5
331,61
333,74
337,88
338,89
339,218
340,74
341,88
342,139
343,88
344,88
345,247
346,247
347,15
348,24
349,54
350,178
351,16
352,8
353,61
354,3807
355,158
356,8
357,3807
358,88
359,90
360,88
361,170
362,196
363,74
365,226
366,226
367,90
369,191
370,159
371,34
372,252
373,252
374,252
375,252
376,61
377,173
378,68
379,190
380,88
381,223
382,190
383,251
384,190
385,190
386,223
387,69
388,251
389,199
390,74
392,251
393,223
394,210
395,210
397,8
398,5
399,190
400,210
401,256
402,226
403,256
404,46
405,190
406,256
407,256
408,56
409,219
410,56
411,89
412,8
413,223
414,89
415,223
416,215
417,251
418,77
419,215
420,89
421,219
422,247
423,5
424,88
425,13
427,215
428,210
429,39
430,251
431,215
432,8
433,5
434,215
435,88
436,215
437,215
438,215
439,30
440,36
441,36
442,36
443,215
445,215
446,215
447,215
448,77
449,215
450,88
451,215
452,215
453,74
454,62
455,13
456,39
458,226
459,259
460,61
461,71
462,88
463,90
464,88
465,90
466,115
467,115
468,251
469,251
470,36
471,168
472,61
473,260
474,260
475,253
476,251
477,251
478,251
479,128
480,223
481,199
482,190
483,88
485,183
486,266
487,266
488,183
489,214
490,223
491,268
492,210
493,268
494,88
495,214
496,190
497,190
498,62
499,267
500,190
501,88
503,256
504,5
505,88
506,215
507,215
508,266
510,266
511,3807
512,33
513,260
514,266
515,270
516,251
517,68
518,88
519,270
520,190
521,190
522,39
523,74
525,247
526,88
527,114
528,3807
530,159
531,159
532,159
533,251
534,159
535,251
538,260
539,174
540,183
541,159
542,183
543,183
544,183
545,273
546,183
547,88
548,266
549,270
550,5
551,215
552,215
553,215
554,215
556,215
557,215
558,39
559,88
560,5
561,215
562,5
563,215
564,215
565,88
566,190
567,92
568,92
569,5
570,251
571,217
572,251
573,190
574,88
575,196
576,36
577,196
578,196
579,88
581,99
582,108
583,39
584,240
585,240
586,251
587,159
588,61
589,61
590,190
591,200
592,57
593,5
594,240
595,223
596,240
597,240
598,22
599,61
600,30
602,88
603,30
604,165
605,88
606,30
607,30
608,196
609,223
610,159
611,223
612,144
613,30
614,107
615,88
616,5
617,5
618,54
619,240
620,253
621,88
622,159
623,87
624,59
625,159
626,30
627,236
631,88
632,223
633,59
634,5
635,30
636,88
637,74
638,59
641,74
642,59
643,7
644,288
645,9426
646,302
647,25
648,68
650,190
651,25
652,9426
653,190
654,88
655,315
656,25
657,315
658,88
659,317
660,292
661,319
662,319
663,319
664,319
665,327
667,88
668,319
669,319
671,302
672,333
673,25
675,89
676,288
677,74
678,81
680,74
681,279
682,74
683,223
684,81
685,327
686,339
687,81
691,352
692,72
693,319
694,74
695,173
696,173
697,367
699,352
700,368
701,369
703,251
706,378
707,188
708,25692
709,401
710,196
711,401
712,402
715,130
717,196
718,25
720,25
721,251
722,25
723,190
724,251
725,223
726,223
727,223
728,223
729,159
730,159
731,251
732,251
733,88
734,88
735,56
736,300
738,188
741,251
743,210
744,319
746,319
747,144
748,434
749,339
750,127
751,127
752,127
753,127
754,223
755,183
757,439
758,190
759,88
760,442
761,251
762,214
763,438
764,445
765,442
766,449
767,447
769,327
770,453
771,88
772,5
773,447
774,5
775,460
776,5
777,334
778,447
779,463
780,172
781,22
782,223
783,442
784,22
785,447
786,460
787,460
788,460
789,447
790,228
791,447
792,88
793,3807
794,7620
795,474
796,442
798,476
799,447
801,210
802,196
803,257
804,447
806,59
807,196
808,482
810,25
812,223
815,368
816,56
817,62
818,480
819,25
820,488
822,247
823,25
824,39
825,480
826,215
827,5
828,334
829,491
830,447
831,494
833,495
834,498
835,62
836,334
837,501
838,288
839,39
840,288
841,30
842,88
843,56
845,8
846,503
847,500
849,485
850,88
851,8
853,74
854,506
855,8
856,506
857,482
858,485
859,445
860,511
861,481
862,159
863,196
865,401
866,455
867,364
868,9426
869,196
870,520
871,520
872,159
873,251
874,260
875,163
876,530
877,531
879,251
880,223
881,34
882,223
883,159
884,541
887,213
893,236
894,1356
895,8
897,284
898,5
899,219
901,11
902,247
903,11
904,549
905,549
908,88
909,364
910,88
911,549
912,549
913,59
914,88
915,247
916,287
917,287
918,251
919,287
920,559
922,251
924,559
926,287
927,319
928,1356
929,560
930,88
931,561
933,561
934,511
935,39
936,253
937,251
939,559
940,87
941,251
942,75
943,279
945,334
946,569
947,287
948,287
949,511
950,99
951,172
952,513
953,183
954,183
955,175
956,25
957,25
958,183
959,183
960,88
961,582
962,223
963,339
964,438
965,56
966,334
967,215
968,1356
969,144
970,247
971,339
972,566
973,223
975,8
977,210
978,8
981,8
982,6
983,6
984,601
986,419
990,3807
991,603
992,603
993,506
996,603
997,25
998,3807
1000,549
1001,608
1003,36
1004,88
1005,36
1006,419
1008,419
1009,419
1010,8
1011,378
1012,196
1013,56
1014,614
1015,108
1016,614
1018,88
1019,88
1020,88
1021,88
1023,74
1024,378
1025,3807
1026,159
1028,608
1029,183
1030,530
1031,223
1032,531
1035,419
1036,557
1038,1356
1039,319
1040,168
1043,601
1044,319
1046,253
1047,614
1048,247
1050,1356
1051,251
1053,172
1054,172
1055,159
1056,251
1057,251
1058,251
1059,183
1060,339
1061,603
1062,368
1063,353
1064,253
1065,601
1066,634
1068,493
1069,39
1070,251
1072,603
1073,638
1074,638
1079,87
1080,572
1081,144
1083,603
1084,642
1086,159
1087,643
1088,643
1089,643
1090,643
1092,251
1093,647
1095,282
1097,438
1098,647
1099,588
1100,30
1101,485
1103,215
1104,17
1106,88
1108,442
1109,495
1110,1356
1111,302
1112,652
1113,442
1114,495
1115,474
1117,419
1121,162
1122,419
1124,334
1126,660
1127,187
1128,334
1129,187
1130,474
1131,8
1132,8
1133,287
1134,5
1135,5
1136,5
1138,59
1140,665
1141,665
1142,667
1144,666
1145,666
1146,668
1148,33
1150,159
1151,251
1152,196
1153,159
1154,251
1155,672
1156,253
1157,11
1158,159
1159,251
1160,253
1161,159
1162,251
1164,438
1165,5
1166,223
1169,364
1170,319
1171,449
1172,449
1173,8
1174,634
1175,495
1176,334
1177,8
1178,378
1179,199
1180,319
1181,339
1182,364
1183,88
1184,573
1185,8
1186,632
1187,39
1188,61
1189,61
1190,686
1191,686
1192,686
1193,686
1194,11
1195,687
1196,666
1197,303
1198,666
1199,5
1201,666
1202,608
1203,196
1204,287
1205,366
1206,159
1207,667
1210,485
1211,521
1212,25692
1213,25692
1214,159
1215,698
1216,159
1217,183
1219,702
1220,8
1221,521
1222,521
1223,127
1225,686
1226,319
1228,588
1229,442
1230,358
1231,8
1232,210
1234,603
1235,5
1236,124
1237,196
1238,729
1240,334
1241,684
1243,732
1244,732
1245,334
1246,279
1247,601
1248,279
1249,168
1251,8
1252,59
1253,738
1254,253
1255,303
1256,196
1258,287
1259,743
1260,253
1261,287
1263,88
1264,447
1265,643
1266,253
1268,170
1269,223
1270,749
1271,485
1273,666
1274,273
1276,61
1277,159
1278,588
1279,183
1280,553
1281,74
1282,279
1283,485
1284,196
1285,183
1286,196
1287,10229
1288,438
1289,760
1290,88
1291,8
1292,217
1293,59
1294,88
1295,159
1296,762
1297,495
1299,438
1304,56
1305,713
1306,449
1307,247
1308,765
1309,5
1312,643
1313,279
1315,775
1317,776
1318,247
1319,61
1320,778
1321,776
1322,88
1324,1356
1325,603
1326,71
1327,582
1328,781
1330,521
1331,253
1332,521
1333,521
1334,521
1335,729
1336,521
1337,521
1338,521
1339,781
1340,781
1341,781
1343,183
1344,25
1345,782
1346,287
1347,521
1348,521
1349,521
1350,189
1351,789
1352,144
1353,339
1354,521
1355,114
1356,114
1358,650
1359,253
1360,778
1361,778
1362,88
1363,114
1364,8
1365,89
1366,247
1367,634
1369,791
1371,666
1372,88
1373,88
1374,88
1375,253
1376,795
1377,236
1378,71
1379,795
1380,795
1381,795
1382,159
1383,799
1384,183
