src,dst
1,20258
2,62158
4,67815
6,8046
9,9066
10,20490
11,28276
12,69287
15,66319
17,64387
21,9251
23,63450
26,87156
27,40526
28,40912
30,3017
33,28218
37,21863
38,3019
39,28336
41,2331
44,28212
46,67696
47,8556
50,28194
54,20484
55,3015
58,68772
59,33480
60,63555
62,50760
72,20492
74,3190
75,62398
77,38335
78,26936
79,38369
85,9286
86,28979
87,90673
93,68858
94,20262
109,8579
111,8172
113,28332
118,21498
119,65955
120,38519
121,26618
122,33482
124,79731
125,62173
126,28210
127,19424
129,26938
131,18402
132,28977
133,63580
135,20260
136,80769
138,80431
141,22100
143,80472
144,64646
147,18602
148,67588
150,66066
157,35289
158,50757
159,20488
160,28226
161,28329
162,64717
169,62698
170,63188
176,8944
179,68821
182,87259
183,32759
188,20256
200,31779
201,68576
203,66382
206,28220
207,79721
210,28334
213,33251
215,21859
216,19816
218,33486
219,28325
220,50292
221,14288
223,112518
225,70908
229,16297
231,7381
233,38878
234,76632
236,40843
237,3013
240,18561
243,10765
246,6137
250,63474
251,43068
255,63363
256,31983
257,32804
260,66323
263,2417
272,28273
274,65033
275,18573
280,65151
281,38823
283,20494
284,61833
288,28216
289,79440
290,28270
294,41309
295,20541
296,65149
299,61383
303,62078
304,113470
305,21857
307,4037
308,61388
309,73482
310,51631
313,37603
319,65294
321,20264
322,13030
323,28900
325,79473
328,28305
329,64824
333,64391
334,46725
336,59373
337,63459
338,32514
340,8577
345,65560
346,65571
347,65622
349,65155
353,48003
354,67822
355,28280
356,28453
357,65139
358,9861
359,28667
361,28266
362,69060
368,80690
369,80679
377,63410
378,17765
379,50711
383,33253
384,47335
386,28927
387,65823
391,40915
397,69301
398,2601
399,65742
401,63404
402,16367
403,14282
405,28902
409,65137
411,80688
414,64377
419,69311
420,62162
421,68063
423,62164
425,21883
427,64221
429,65141
430,14121
436,28303
438,68977
441,66542
442,28794
443,31288
446,63087
448,80394
449,15345
451,21867
454,65147
462,68614
463,40435
465,61881
467,65135
469,33488
473,92319
481,28411
486,35793
489,62169
492,33729
493,31987
495,40433
498,68627
499,65588
501,38344
505,8946
507,41299
508,14115
509,28259
516,90804
517,68750
518,63299
523,99291
525,9210
529,20486
530,80677
531,68712
532,69052
533,40834
534,40431
538,15654
540,15332
541,55903
546,63563
550,64665
551,65511
553,80776
554,28261
558,40523
559,62688
560,65331
562,79744
563,62404
564,38880
565,28268
569,58823
572,63374
575,68621
579,80774
580,63310
585,62885
586,65323
587,86028
589,61386
591,28792
592,28774
594,65337
595,62233
597,62620
601,68824
603,40438
605,94287
608,80705
617,19849
619,90946
620,66505
621,28535
622,65167
623,62166
628,32711
631,30438
632,40521
634,63406
636,33484
640,99598
641,80780
642,8362
648,65326
652,18635
653,70887
656,62322
661,93186
663,28282
667,68570
668,62332
675,65816
676,35463
688,71183
694,47332
702,67080
704,92489
708,38342
717,62160
720,28278
721,62442
722,67819
725,65328
726,10756
730,64374
731,28224
732,79086
733,74031
735,80778
737,68540
738,29148
740,65169
742,10273
753,29931
759,22111
760,87546
764,79453
769,28297
771,69108
779,63090
781,47317
783,63445
785,41502
788,62936
