src,dst
1,3
2,2
3,5
4,5
5,3
6,4
7,2
10,3
11,5
12,6
13,6
14,10
15,5
16,2
17,6
19,6
20,1
21,3
22,5
23,9
24,14
25,16
26,13
27,6
28,17
29,14
30,21
31,1
32,22
33,2
34,5
35,20
36,16
37,1
38,15
39,6
40,5
41,13
42,5
43,4
44,9
45,17
46,31
47,22
48,22
49,17
50,22
51,29
52,20
53,2
54,25
55,32
56,31
57,22
58,26
59,1
61,5
62,3
63,26
65,3
66,32
67,40
68,45
69,8
70,33
71,49
72,8
73,46
74,6
75,6
76,5
77,3
78,40
79,28
81,31
82,8
84,50
85,52
86,47
87,52
88,22
89,22
90,53
91,59
92,50
93,56
94,45
95,36
96,63
97,44
98,63
99,36
100,65
101,66
102,69
103,48
104,49
105,65
106,5
107,14
108,65
109,65
110,31
111,31
112,58
113,12
114,71
115,6
116,6
118,61
119,41
120,77
121,48
122,72
123,57
124,63
125,53
127,5
128,44
132,46
133,5
134,65
135,73
136,76
137,3
139,53
140,53
141,77
142,36
143,73
144,76
145,36
146,79
147,44
148,44
149,44
150,63
151,67
152,84
154,80
155,8
156,44
157,84
158,57
160,43
161,44
162,84
163,8
164,57
165,85
166,50
167,48
168,76
169,81
170,64
171,51
173,80
174,50
176,90
177,83
178,23
179,59
180,2
181,26
182,91
183,91
186,94
187,5
188,31
189,5
190,76
191,73
192,97
193,47
194,10
195,43
196,78
197,55
198,44
199,89
200,15
201,98
202,91
203,5
204,6
205,10
206,54
208,95
209,100
211,73
214,76
215,105
216,102
217,67
218,44
219,3
220,78
221,105
222,107
223,31
224,103
226,69
227,75
228,75
229,1
230,80
231,99
232,26
233,80
234,104
235,103
236,105
237,107
238,108
239,103
240,113
241,113
244,5
245,5
246,14
247,103
249,78
250,78
251,110
252,114
253,18
254,7
255,76
256,111
257,90
258,94
259,96
260,8
261,118
262,114
263,114
267,5
268,99
269,123
270,123
271,121
272,120
275,65
276,126
278,120
279,126
281,124
282,124
283,131
284,125
285,85
286,131
287,116
288,126
289,105
290,121
291,123
292,103
294,138
296,140
297,65
298,144
299,131
300,6
302,7
303,75
305,3
306,103
307,63
308,31
309,147
310,148
311,22
313,78
314,149
315,134
317,124
324,118
325,3
326,69
327,130
328,124
329,117
330,153
331,157
332,155
333,157
334,103
335,141
336,107
337,108
338,41
339,120
340,123
341,125
342,145
343,50
344,147
345,148
346,7
347,7
349,22
350,6
351,73
352,73
353,3
354,3
355,114
356,117
358,75
359,75
360,138
361,143
362,137
363,125
364,25
365,120
366,121
367,22
368,22
369,56
370,1
371,1
372,154
373,15
374,103
375,31
376,143
377,137
378,124
379,31
382,172
383,153
384,126
385,174
386,77
387,63
388,117
389,177
390,96
391,91
392,179
393,168
394,5
396,166
397,147
398,148
399,180
400,169
401,164
402,101
403,73
404,145
405,81
406,73
407,177
408,177
409,182
410,135
411,29
413,124
414,124
415,4
416,137
417,159
418,182
419,177
420,130
421,187
422,170
423,175
424,166
425,172
426,165
427,41
428,22
429,188
430,165
431,121
432,192
433,5
434,153
436,159
437,97
438,97
439,66
440,86
441,79
442,189
443,134
444,166
445,170
446,174
447,184
448,33
449,156
450,104
451,165
452,192
454,192
455,151
456,103
457,165
458,56
459,114
460,193
461,42
462,130
463,23
464,176
465,189
466,91
467,118
468,198
