src,dst
13,58
19,6
57,66
59,66
75,71
89,22
110,94
116,22
140,87
147,102
204,24
205,24
228,22
239,128
240,22
263,22
281,81
292,142
303,142
305,142
328,138
334,158
346,158
350,158
351,158
354,158
355,158
359,158
360,158
363,158
368,71
371,71
406,90
414,80
420,169
432,1356
438,24
449,148
459,83
487,18
500,71
522,154
568,138
569,138
571,138
580,138
584,196
585,206
586,206
591,212
595,87
596,212
597,212
598,212
602,87
605,87
616,81
622,57
634,187
673,90
685,80
687,80
722,229
724,229
738,22
817,24
818,24
825,24
830,24
837,24
867,57
869,57
937,154
943,252
1015,128
1019,253
1021,253
1027,128
1029,128
1077,210
1083,83
1109,81
1111,81
1136,71
1139,71
1155,39
1197,212
1222,212
1233,71
1237,144
1250,83
1266,39
1279,196
1283,13
1289,253
1313,144
1357,223
1371,223
1394,116
1400,3807
1404,8
1423,251
1428,88
1430,88
1431,88
1444,197
1445,197
1454,253
1457,253
1468,11
1508,214
1577,223
1589,166
1599,81
1641,220
1656,138
1660,39
1663,39
1667,71
1675,35
1683,220
1696,77
1714,66
1718,7
1733,61
1735,251
1804,196
1813,253
1814,253
1816,253
1818,253
1819,253
1824,253
1830,128
1889,223
1895,223
1908,253
1912,253
1933,87
1941,88
1959,71
1965,71
1996,7
1999,7
2014,297
2019,297
2041,9426
2081,255
2095,284
2119,346
2123,128
2134,352
2159,71
2166,251
2184,253
2186,253
2188,253
2190,253
2192,253
2194,253
2196,253
2198,253
2221,352
2238,196
2244,339
2265,413
2275,413
2284,417
2289,427
2298,434
2299,434
2302,434
2304,434
2305,434
2309,434
2313,434
2332,110
2355,251
2379,434
2389,439
2399,455
2405,75
2406,460
2409,460
2441,5
2471,88
2474,469
2511,196
2513,196
2519,442
2592,339
2605,500
2643,9426
2653,288
2662,196
2685,253
2687,253
2697,9426
2720,158
2749,81
2771,253
2776,253
2778,253
2780,253
2782,253
2786,253
2788,253
2804,445
2838,284
2842,527
2843,452
2873,334
2898,39
2903,253
2905,253
2908,253
2937,87
2938,87
2952,485
2963,5
2972,485
2975,485
2976,485
2981,9426
2997,445
3053,5
3078,8
3081,595
3082,595
3089,253
3092,253
3095,597
3110,439
3112,439
3113,439
3127,57
3130,57
3135,57
3141,57
3158,287
3163,57
3183,253
3186,253
3189,253
3195,3807
3266,222
3284,253
3288,214
3294,87
3314,582
3352,446
3353,446
3360,253
3363,253
3369,632
3372,339
3374,339
3377,632
3399,582
3402,253
3415,461
3422,427
3426,51
3427,51
3429,253
3435,87
3442,87
3467,87
3469,641
3480,253
3514,39
3560,439
3606,253
3638,373
3649,253
3656,253
3660,253
3664,253
3674,90
3678,677
3689,81
3704,261
3713,261
3740,253
3741,253
3753,253
3759,71
3762,71
3778,3807
3786,94
3805,573
3819,196
3832,253
3844,705
3854,439
3865,641
3872,5
3874,717
3889,358
3904,287
3925,253
3927,253
3940,77
3953,352
3957,445
3970,71
4013,721
4017,439
4019,439
4020,439
4038,197
4059,595
4061,595
4080,71
4105,253
4107,253
4109,253
4124,253
4126,253
4128,253
4176,582
4178,582
4181,114
4184,253
4188,114
4200,253
4216,71
4231,485
4237,705
4242,253
4245,253
4258,196
4295,797
4296,797
4297,797
4298,797
4299,797
4300,797
4308,795
4319,595
4320,595
4321,595
4322,595
4345,229
4373,806
4374,806
4379,253
4384,807
4396,812
4397,812
4399,253
4420,595
4430,71
4435,795
4453,806
4457,253
4459,253
4463,253
4465,253
4468,253
4470,253
4471,71
4480,697
4486,394
4491,253
4492,827
4519,434
4542,439
4546,582
4547,582
4575,595
4576,595
4583,18
4591,5
4593,223
4598,51
4600,51
4612,582
4622,71
4626,582
4679,287
4683,394
4728,339
4744,632
4749,22
4753,394
4755,223
4785,251
4803,455
4808,214
4867,5
4878,871
4948,795
4953,291
4965,251
5058,795
5067,520
5071,842
5114,253
5127,253
5132,39
5155,339
5156,339
5213,456
5222,595
5233,253
5236,33
5239,930
5240,930
5269,253
5270,253
5283,942
5285,527
5297,139
5308,807
5326,955
5349,253
5364,394
5377,632
5380,705
5399,439
5402,963
5403,595
5404,595
5405,595
5431,5
5506,641
5544,253
5547,253
5548,253
5550,253
5554,253
5585,643
5593,148
5614,968
5616,253
5619,933
5622,933
5634,339
5654,251
5656,835
5659,253
5662,253
5665,253
5668,253
5670,253
5675,573
5682,82
5695,253
5697,253
5703,850
5713,850
5729,253
5731,253
5733,253
5768,196
5771,439
5789,291
5810,991
5812,287
5849,442
5887,573
5895,573
5897,850
5902,253
5905,253
5910,253
5911,850
5913,291
5933,339
5965,88
5967,930
6038,697
6042,952
6081,251
6101,573
6120,253
6137,253
6140,253
6163,253
6165,253
6167,253
6175,850
6208,253
6209,990
6214,253
6241,253
6260,183
6274,253
6288,930
6290,930
6293,8
6295,1035
6301,835
6302,835
6305,573
6318,253
6320,253
6342,183
6347,339
6352,1356
6372,850
6373,253
6386,976
6392,930
6394,930
6399,573
6400,442
6401,595
6402,595
6403,442
6409,1059
6410,930
6432,976
6436,253
6442,1036
6462,71
6464,930
6467,919
6471,253
6476,253
6495,442
6498,442
6500,930
6502,956
6508,253
6519,930
6533,25
6537,71
6545,573
6549,253
6577,253
6580,961
6581,529
6582,529
6583,529
6616,1077
6617,1077
6623,434
6637,253
6669,253
6671,253
6673,253
6678,253
6681,253
6692,170
6701,930
6718,253
6721,253
6770,573
6771,339
6829,66
6836,253
6848,1101
6851,221
6876,221
6884,930
6885,930
6891,439
6892,291
6903,930
6910,1077
6912,1077
6943,930
6951,930
6952,930
7011,930
7016,88
7020,253
7023,253
7032,287
7064,1356
7073,1356
7086,339
7091,442
7092,930
7095,641
7118,88
7122,689
7126,253
7131,930
7133,930
7144,961
7155,961
7156,961
7165,930
7167,930
7204,930
7207,334
7211,442
7216,961
7232,442
7235,442
7240,1356
7242,961
7248,930
7284,291
7300,930
7301,1077
7306,442
7310,976
7311,976
7337,287
7346,930
7349,1077
7376,955
7377,955
7379,955
7380,955
7381,955
7382,955
7393,71
7397,22
7399,930
7417,806
7431,930
7440,229
7445,442
7458,263
7461,442
7465,442
7477,930
7510,842
7514,442
7543,253
7558,401
7606,253
7618,930
7622,930
7625,930
7627,442
7628,442
7636,229
7646,1150
7652,930
7668,253
7687,71
7691,1153
7720,930
7725,961
7734,930
7746,1161
7749,1169
7761,573
7771,930
7775,229
7777,442
7805,930
7815,339
7824,582
7849,71
7854,930
7855,930
7862,5
7863,795
7873,71
7919,291
7920,291
7926,705
7929,253
7931,253
7933,253
7935,253
7936,961
7939,253
7941,253
7943,253
7945,253
7955,705
7957,930
7970,955
7999,930
8034,456
8037,456
8038,930
8049,961
8053,705
8096,253
8097,223
8101,291
8106,442
8169,930
8172,930
8189,919
8227,187
8318,1084
8370,187
8376,5
8405,183
8407,253
8409,253
