query,truth_cardinality,num_tables,num_edges,num_predicates
q001,79851,2,1,1
q002,10220614,3,2,2
q003,1458075,3,2,2
q004,1709781,3,2,2
q005,7491903,3,2,1
q006,428612,3,2,5
q007,699302,4,3,3
q008,481420,4,3,5
q009,698213,3,2,2
q010,780683,3,2,8
q011,326559,3,2,11
q012,1018612,3,2,5
q013,315516,3,2,3
q014,200,3,2,5
q015,10223864,3,2,5
q016,245567,3,2,7
q017,70752,4,3,1
q018,63500,3,2,2
q019,10895,3,2,2
q020,251068,3,2,6
q021,26836,3,2,7
q022,2488080,3,3,4
q023,144017,3,2,2
q024,4582,3,2,3
q025,176191,4,3,4
q026,25033,4,3,4
q027,42036,4,3,8
q028,16049150,4,3,2
q029,595820,4,3,10
q030,232039659,4,3,5
q031,6672465,4,3,6
q032,19402569,4,3,11
q033,6299,4,3,9
q034,593169291,4,3,3
q035,3169724,4,3,6
q036,52313,4,3,6
q037,1633681,5,4,2
q038,105742741,4,3,7
q039,2034610,4,3,9
q040,28565,4,3,8
q041,1717,4,3,12
q042,896180,4,3,4
q043,7661811,4,3,5
q044,2101105,4,3,16
q045,6272,4,3,8
q046,454094,5,4,10
q047,60601561,5,4,8
q048,224,5,4,3
q049,18597973,5,4,10
q050,9812,5,4,10
q051,86914174,5,4,9
q052,228748307,5,4,11
q053,913441,5,4,3
q054,4801,5,4,6
q055,14413,5,4,3
q056,15887370,5,4,1
q057,5091,5,4,7
q058,17849233970,6,5,10
q059,88962973,6,5,10
q060,11947976,6,5,3
q061,868310,6,5,12
q062,109961,6,5,7
q063,8893,6,5,12
q064,692609,6,5,11
q065,33955,6,5,10
q066,82213,6,5,12
q067,469,6,5,12
q068,1112747282,7,6,2
q069,107654752,7,6,5
q070,80052528,7,6,11
q071,58623592,7,6,3
q072,1582060,7,6,4
q073,1639421,7,6,7
q074,38686327,6,5,6
q075,3812589,6,5,11
q076,434967,6,5,10
q077,5982882,6,5,11
q078,426751,6,5,5
q079,2870375,6,5,7
q080,1459345,3,2,10
q081,657592,3,2,6
q082,1771584,3,2,6
q083,2323452,3,2,5
q084,10993951,3,2,5
q085,10862842,3,2,3
q086,209182,4,3,3
q087,758411,3,2,5
q088,10223864,3,2,5
q089,1356723,3,2,6
q090,582617,3,2,6
q091,4197329,3,2,5
q092,155561,3,2,4
q093,2162683,3,2,3
q094,1100297,3,2,2
q095,4254157,4,3,1
q096,2016238,4,3,4
q097,56359398,4,3,13
q098,40855663,4,3,6
q099,1490297,4,3,4
q100,303210,4,3,7
q101,408599,4,3,8
q102,2809424,4,3,4
q103,3778084,4,3,6
q104,11075893,4,3,5
q105,183537163,4,3,6
q106,569476,4,3,9
q107,537352263,4,3,7
q108,593169291,4,3,3
q109,978405,5,4,5
q110,1104151,5,4,3
q111,1957551,5,4,4
q112,1839326,5,4,4
q113,18382871,4,3,3
q114,19424781,4,3,9
q115,43927632,4,3,6
q116,986987,4,3,6
q117,354388,4,3,7
q118,554302,4,3,8
q119,1936953,4,3,6
q120,11637523617,4,3,4
q121,1116000,4,3,14
q122,11206879551,4,3,3
q123,154355934,4,3,4
q124,6351775,4,3,6
q125,56205,4,3,7
q126,3136348028,4,3,1
q127,490921,5,4,7
q128,454094,5,4,10
q129,914210,5,4,6
q130,35205,5,4,10
q131,2863626,5,4,11
q132,96484,5,4,11
q133,13971410,5,4,9
q134,16698,5,4,10
q135,2263957167,5,4,6
q136,255355807,5,4,11
q137,233930,5,4,13
q138,15677331,5,4,4
q139,4231593,6,5,7
q140,113925678,7,6,12
q141,312148706,7,6,5
q142,299574955,7,6,11
q143,155696936,7,6,8
q144,18762969,6,5,6
q145,436286,6,5,10
q146,1570429,6,5,9
