sf,pattern_group,pattern,cardinality,sample_time_s,estimate_time_s,build_time_s,total_time_s
sf1,L1_path,L1,2387064502,0.000000,0.000019,0.000533,0.073
sf1,L1_path,L1_PA,648596864,0.054562,0.000024,0.054917,0.058
sf1,L2_chain,L2,1549062176,0.000000,0.000030,0.029604,0.033
sf1,L2_chain,L2_PB,61455524,0.074047,0.000034,0.102306,0.107
sf1,L3_star,L3,790427776,0.000000,0.000039,0.101814,0.107
sf1,L3_star,L3_PB,0,0.007306,0.000046,0.094318,0.100
sf1,L4_cycle,L4,1716033,0.000000,0.000031,0.093154,0.100
sf1,L4_cycle,L4_PA,418540,0.233806,0.000041,0.325965,0.331
sf1,L5_triangle,L5,644285440,0.000000,0.000072,0.002303,0.006
sf1,L5_triangle,L5_PB,0,0.100609,0.000091,0.102905,0.106
sf1,L6_cycle_branch,L6,5224561,0.000000,0.000071,0.293971,0.299
sf1,L6_cycle_branch,L6_PA,112920709,0.290814,0.000087,0.620347,0.626
