topology,query,pattern,true_cardinality,time_s,status,error
Chain_12,0,Chain_12/0,120642719,0.693024,ok,
Chain_12,1,Chain_12/1,82874485,0.608634,ok,
Chain_12,2,Chain_12/2,30345854,1.231333,ok,
Chain_12,3,Chain_12/3,16732,0.156192,ok,
Chain_12,4,Chain_12/4,98804,0.155676,ok,
Chain_12,5,Chain_12/5,4220494,0.598229,ok,
Chain_12,6,Chain_12/6,57699,0.248166,ok,
Chain_12,7,Chain_12/7,35411,0.353727,ok,
Chain_12,8,Chain_12/8,91339,0.096572,ok,
Chain_12,9,Chain_12/9,26611,0.346298,ok,
Chain_12,10,Chain_12/10,17674,0.259814,ok,
Chain_12,11,Chain_12/11,96228,0.133389,ok,
Chain_12,12,Chain_12/12,92818,0.333572,ok,
Chain_12,13,Chain_12/13,13903,0.152795,ok,
Chain_12,14,Chain_12/14,146318,0.334609,ok,
Chain_12,15,Chain_12/15,571960,0.187091,ok,
Chain_12,16,Chain_12/16,568298,0.103605,ok,
Chain_12,17,Chain_12/17,4785048652,21.957097,ok,
Chain_12,18,Chain_12/18,104908,0.345913,ok,
Chain_12,19,Chain_12/19,459978,0.157864,ok,
Chain_12,20,Chain_12/20,110522,0.198275,ok,
Chain_12,21,Chain_12/21,4785048652,21.897672,ok,
Chain_12,22,Chain_12/22,302861,0.264498,ok,
Chain_12,23,Chain_12/23,110522,0.182923,ok,
Chain_12,24,Chain_12/24,82874485,0.610090,ok,
Chain_12,25,Chain_12/25,55731657,0.592326,ok,
Chain_3,0,Chain_3/0,563422,0.070418,ok,
Chain_3,1,Chain_3/1,563422,0.084209,ok,
Chain_3,2,Chain_3/2,563422,0.071134,ok,
Chain_3,3,Chain_3/3,563422,0.082315,ok,
Chain_3,4,Chain_3/4,62674,0.076919,ok,
Chain_3,5,Chain_3/5,563422,0.063765,ok,
Chain_3,6,Chain_3/6,563422,0.085358,ok,
Chain_3,7,Chain_3/7,563422,0.067255,ok,
Chain_3,8,Chain_3/8,378,0.041255,ok,
Chain_3,9,Chain_3/9,378,0.040323,ok,
Chain_3,10,Chain_3/10,563422,0.068570,ok,
Chain_3,11,Chain_3/11,563422,0.069502,ok,
Chain_3,12,Chain_3/12,563422,0.067496,ok,
Chain_3,13,Chain_3/13,378,0.041419,ok,
Chain_3,14,Chain_3/14,378,0.038148,ok,
