topology,query,pattern,true_cardinality,time_s,status,error
Chain_12,0,Chain_12/0,41773609,2.888564,ok,
Chain_12,1,Chain_12/1,28874539,5.663324,ok,
Chain_12,2,Chain_12/2,10029835,2.298507,ok,
Chain_12,3,Chain_12/3,6019,0.133463,ok,
Chain_12,4,Chain_12/4,42539,1.125538,ok,
Chain_12,5,Chain_12/5,947452,1.012703,ok,
Chain_12,6,Chain_12/6,23587,0.546288,ok,
Chain_12,7,Chain_12/7,11732,1.797754,ok,
Chain_12,8,Chain_12/8,31828,0.141609,ok,
Chain_12,9,Chain_12/9,7293,4.923398,ok,
Chain_12,10,Chain_12/10,5173,0.553015,ok,
Chain_12,11,Chain_12/11,38358,0.489617,ok,
Chain_12,12,Chain_12/12,28156,0.135174,ok,
Chain_12,13,Chain_12/13,4666,0.125087,ok,
Chain_12,14,Chain_12/14,46856,0.693275,ok,
Chain_12,15,Chain_12/15,204634,1.242541,ok,
Chain_12,16,Chain_12/16,197229,0.201662,ok,
Chain_12,17,Chain_12/17,1676579098,15.307345,ok,
Chain_12,18,Chain_12/18,52922,1.304193,ok,
Chain_12,19,Chain_12/19,121754,0.216172,ok,
Chain_12,20,Chain_12/20,47169,0.547334,ok,
Chain_12,21,Chain_12/21,1676579098,15.368112,ok,
Chain_12,22,Chain_12/22,102599,0.595078,ok,
Chain_12,23,Chain_12/23,47169,0.571551,ok,
Chain_12,24,Chain_12/24,28874539,5.439509,ok,
Chain_12,25,Chain_12/25,18975738,3.047269,ok,
Chain_3,0,Chain_3/0,188931,0.099697,ok,
Chain_3,1,Chain_3/1,188931,0.103347,ok,
Chain_3,2,Chain_3/2,188441,0.111554,ok,
Chain_3,3,Chain_3/3,188441,0.113389,ok,
Chain_3,4,Chain_3/4,21368,0.067886,ok,
Chain_3,5,Chain_3/5,188931,0.108959,ok,
Chain_3,6,Chain_3/6,188931,0.101806,ok,
Chain_3,7,Chain_3/7,188931,0.112960,ok,
Chain_3,8,Chain_3/8,120,0.057170,ok,
Chain_3,9,Chain_3/9,120,0.051888,ok,
Chain_3,10,Chain_3/10,188931,0.134681,ok,
Chain_3,11,Chain_3/11,188931,0.131501,ok,
Chain_3,12,Chain_3/12,188931,0.131555,ok,
Chain_3,13,Chain_3/13,119,0.055352,ok,
Chain_3,14,Chain_3/14,120,0.055119,ok,
Chain_3,15,Chain_3/15,119,0.051435,ok,
Chain_3,16,Chain_3/16,119,0.053057,ok,
Chain_3,17,Chain_3/17,188441,0.120595,ok,
Chain_3,18,Chain_3/18,120,0.051717,ok,
Chain_3,19,Chain_3/19,118,0.064865,ok,
Chain_3,20,Chain_3/20,188931,0.121794,ok,
Chain_3,21,Chain_3/21,579,0.069685,ok,
Chain_3,22,Chain_3/22,579,0.071691,ok,
Chain_3,23,Chain_3/23,188441,0.125651,ok,
Chain_3,24,Chain_3/24,188931,0.117262,ok,
Chain_3,25,Chain_3/25,579,0.072589,ok,
Chain_3,26,Chain_3/26,579,0.073229,ok,
Chain_3,27,Chain_3/27,1423,0.053234,ok,
Chain_3,28,Chain_3/28,188931,0.120008,ok,
Chain_3,29,Chain_3/29,2895,0.060208,ok,
Chain_3,30,Chain_3/30,188931,0.120777,ok,
Chain_3,31,Chain_3/31,188931,0.128739,ok,
Chain_3,32,Chain_3/32,188931,0.108167,ok,
Chain_3,33,Chain_3/33,6019,0.072787,ok,
Chain_3,34,Chain_3/34,7689,0.061698,ok,
Chain_3,35,Chain_3/35,31855,0.105849,ok,
Chain_3,36,Chain_3/36,7689,0.066472,ok,
Chain_3,37,Chain_3/37,16719,0.068769,ok,
Chain_3,38,Chain_3/38,31855,0.105973,ok,
Chain_3,39,Chain_3/39,7689,0.071408,ok,
Chain_3,40,Chain_3/40,31868,0.099277,ok,
Chain_3,41,Chain_3/41,16719,0.064310,ok,
Chain_3,42,Chain_3/42,7689,0.066737,ok,
Chain_3,43,Chain_3/43,188931,0.108513,ok,
Chain_3,44,Chain_3/44,6019,0.081733,ok,
Chain_3,45,Chain_3/45,31868,0.096315,ok,
Chain_3,46,Chain_3/46,6019,0.072131,ok,
Chain_3,47,Chain_3/47,6019,0.080002,ok,
Chain_3,48,Chain_3/48,7573,0.072594,ok,
Chain_3,49,Chain_3/49,7689,0.065798,ok,
Chain_3,50,Chain_3/50,31868,0.102500,ok,
Chain_3,51,Chain_3/51,7573,0.066660,ok,
Chain_3,52,Chain_3/52,31868,0.105134,ok,
Chain_3,53,Chain_3/53,40820,0.109156,ok,
Chain_3,54,Chain_3/54,45816,0.085093,ok,
Chain_3,55,Chain_3/55,40878,0.111435,ok,
Chain_6,0,Chain_6/0,2097768,0.653721,ok,
Chain_6,1,Chain_6/1,907141,0.379220,ok,
Chain_6,2,Chain_6/2,10697,0.091945,ok,
Chain_6,3,Chain_6/3,31912,0.096270,ok,
Chain_6,4,Chain_6/4,142255,0.319993,ok,
Chain_6,5,Chain_6/5,32317,0.184996,ok,
Chain_6,6,Chain_6/6,11,0.062218,ok,
Chain_6,7,Chain_6/7,7602,0.083760,ok,
Chain_6,8,Chain_6/8,907141,0.347644,ok,
Chain_6,9,Chain_6/9,46,0.071687,ok,
Chain_6,10,Chain_6/10,2090913,0.608911,ok,
Chain_6,11,Chain_6/11,2090913,0.609817,ok,
Chain_6,12,Chain_6/12,232,0.069893,ok,
Chain_6,13,Chain_6/13,2090913,0.571390,ok,
Chain_6,14,Chain_6/14,55,0.242471,ok,
Chain_6,15,Chain_6/15,2090913,0.648581,ok,
Chain_6,16,Chain_6/16,2090913,0.636163,ok,
Chain_6,17,Chain_6/17,2097768,0.599516,ok,
Chain_6,18,Chain_6/18,2097768,0.631468,ok,
Chain_6,19,Chain_6/19,2097768,0.597643,ok,
Chain_6,20,Chain_6/20,141945,0.307342,ok,
Chain_6,21,Chain_6/21,2090913,0.612881,ok,
Chain_6,22,Chain_6/22,157926,0.130302,ok,
Chain_6,23,Chain_6/23,15566,0.093938,ok,
Chain_6,24,Chain_6/24,31912,0.090484,ok,
