query,true_cardinality,time_s,status,error,pattern_path,sql
query_dense_16_1,102298132672478,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_1.graph,
query_dense_16_10,69444809291388,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_10.graph,
query_dense_16_100,23614401123921,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_100.graph,
query_dense_16_101,95754724928375,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_101.graph,
query_dense_16_102,44564495029368,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_102.graph,
query_dense_16_103,250702840667942,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_103.graph,
query_dense_16_104,693934427986499,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_104.graph,
query_dense_16_105,1186573897064,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_105.graph,
query_dense_16_106,27875674406148,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_106.graph,
query_dense_16_107,24122156100597,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_107.graph,
query_dense_16_108,256595309663140,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_108.graph,
query_dense_16_109,189556074789443,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_109.graph,
query_dense_16_110,26505746667192,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_110.graph,
query_dense_16_111,31780203473442,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_111.graph,
query_dense_16_112,16108690031528,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_112.graph,
query_dense_16_113,84309376804538,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_113.graph,
query_dense_16_114,4841680208440,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_114.graph,
query_dense_16_115,187304257056812,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_115.graph,
query_dense_16_116,100290422704812,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_116.graph,
query_dense_16_117,4466338299413,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_117.graph,
query_dense_16_118,3969613122702,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_118.graph,
query_dense_16_12,12632026052719,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_12.graph,
query_dense_16_120,60996860368608,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_120.graph,
query_dense_16_121,38656873335541,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_121.graph,
query_dense_16_122,2094736061394,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_122.graph,
query_dense_16_123,1539313242883704,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_123.graph,
query_dense_16_124,12006359329834,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_124.graph,
query_dense_16_125,54778367951133,,ok,,/home/zxz/miniGU_experiment_master/experiment/patterns/truecard/dblp/query_dense_16_125.graph,
