query,expected,duckdb,match,status,latency_s,error
query_dense_4_1,278587,278587,True,ok,0.231883,
query_dense_4_2,24995,24995,True,ok,0.204017,
query_dense_4_3,286641,286641,True,ok,0.156672,
query_dense_4_4,270372,270372,True,ok,0.218270,
query_dense_4_5,290888,290888,True,ok,0.167796,
query_dense_4_6,259615,259615,True,ok,0.159443,
query_dense_4_7,40339,40339,True,ok,0.294749,
query_dense_4_8,205547,205547,True,ok,0.146461,
query_dense_4_9,388154,388154,True,ok,0.221528,
query_dense_4_10,359399,359399,True,ok,0.170173,
query_dense_4_11,415021,415021,True,ok,0.188839,
query_dense_4_12,390850,390850,True,ok,0.183128,
query_dense_4_13,281145,281145,True,ok,0.154711,
query_dense_4_14,299454,299454,True,ok,0.166990,
query_dense_4_15,28286,28286,True,ok,0.250212,
query_dense_4_16,269169,269169,True,ok,0.225732,
query_dense_4_17,380480,380480,True,ok,0.202889,
query_dense_4_18,509214,509214,True,ok,0.200573,
query_dense_4_19,380478,380478,True,ok,0.177011,
query_dense_4_20,456070,456070,True,ok,0.166193,
query_dense_4_21,333735,333735,True,ok,0.162466,
query_dense_4_22,388806,388806,True,ok,0.167755,
query_dense_4_23,12384,12384,True,ok,0.638474,
query_dense_4_24,24940,24940,True,ok,0.204751,
query_dense_4_25,336343,336343,True,ok,0.175839,
query_dense_4_26,383945,383945,True,ok,0.170662,
query_dense_4_27,253398,253398,True,ok,0.154137,
query_dense_4_28,15875,15875,True,ok,0.169860,
query_dense_4_29,287046,287046,True,ok,0.157981,
query_dense_4_30,48140,48140,True,ok,0.241322,
query_dense_4_31,981398,981398,True,ok,0.338798,
query_dense_4_32,2792751,2792751,True,ok,0.568732,
query_dense_4_33,24653,24653,True,ok,0.177607,
query_dense_4_34,1353095,1353095,True,ok,0.431682,
query_dense_4_35,273732,273732,True,ok,0.151824,
query_dense_4_36,30789,30789,True,ok,0.532944,
query_dense_4_37,2652898,2652898,True,ok,0.494365,
query_dense_4_38,64910,64910,True,ok,0.622202,
query_dense_4_39,310874,310874,True,ok,0.164141,
query_dense_4_40,931487,931487,True,ok,0.311688,
query_dense_4_41,1307374,1307374,True,ok,0.309636,
query_dense_4_42,254218,254218,True,ok,0.168051,
query_dense_4_43,884768,884768,True,ok,0.729064,
query_dense_4_44,2081000,2081000,True,ok,0.430645,
query_dense_4_45,195764,195764,True,ok,0.143016,
query_dense_4_46,493168,493168,True,ok,0.180796,
query_dense_4_47,2259733,2259733,True,ok,0.500409,
query_dense_4_48,218036,218036,True,ok,0.141119,
query_dense_4_49,13438,13438,True,ok,0.182866,
query_dense_4_50,28009,28009,True,ok,0.202725,
query_dense_4_51,3429871,3429871,True,ok,0.674457,
query_dense_4_52,17168,17168,True,ok,0.201602,
query_dense_4_53,89036,89036,True,ok,0.264802,
query_dense_4_54,2587319,2587319,True,ok,0.500647,
query_dense_4_55,295617,295617,True,ok,0.161736,
query_dense_4_56,1247,1247,True,ok,0.377814,
query_dense_4_57,1253470,1253470,True,ok,0.317725,
query_dense_4_58,147502,147502,True,ok,0.148816,
query_dense_4_59,477133,477133,True,ok,0.181622,
query_dense_4_60,1156420,1156420,True,ok,0.398076,
query_dense_4_61,225726,225726,True,ok,0.160004,
query_dense_4_62,367546,367546,True,ok,0.184374,
query_dense_4_63,4155,4155,True,ok,0.179916,
query_dense_4_64,378639,378639,True,ok,0.174630,
query_dense_4_65,292343,292343,True,ok,0.157460,
query_dense_4_66,1312794,1312794,True,ok,0.340189,
query_dense_4_67,574550,574550,True,ok,0.224880,
query_dense_4_68,31788,31788,True,ok,0.191091,
query_dense_4_69,206889,206889,True,ok,0.160646,
query_dense_4_70,210977,210977,True,ok,0.146008,
query_dense_4_71,226550,226550,True,ok,0.152339,
query_dense_4_72,20540,20540,True,ok,0.208784,
query_dense_4_73,967913,967913,True,ok,0.290386,
query_dense_4_74,2519356,2519356,True,ok,0.486794,
query_dense_4_75,1331,1331,True,ok,0.208049,
query_dense_4_76,8121,8121,True,ok,0.196380,
query_dense_4_77,41725,41725,True,ok,0.229879,
query_dense_4_78,76644,76644,True,ok,0.282980,
query_dense_4_79,383642,383642,True,ok,0.159633,
query_dense_4_80,276293,276293,True,ok,0.159715,
query_dense_4_81,777763,777763,True,ok,0.299598,
query_dense_4_82,283542,283542,True,ok,0.155588,
query_dense_4_83,329865,329865,True,ok,0.242214,
query_dense_4_84,318008,318008,True,ok,0.180039,
query_dense_4_85,28196,28196,True,ok,0.213309,
query_dense_4_86,1487255,1487255,True,ok,0.316418,
query_dense_4_87,450570,450570,True,ok,0.223505,
query_dense_4_88,4011416,4011416,True,ok,0.833277,
query_dense_4_89,1126870,1126870,True,ok,0.403106,
query_dense_4_90,397662,397662,True,ok,0.176533,
query_dense_4_91,326397,326397,True,ok,0.177057,
query_dense_4_92,43192,43192,True,ok,0.609126,
query_dense_4_93,532579,532579,True,ok,0.185352,
query_dense_4_94,207628,207628,True,ok,0.152594,
query_dense_4_95,1072955,1072955,True,ok,0.372907,
query_dense_4_96,965,965,True,ok,0.207843,
query_dense_4_97,333670,333670,True,ok,0.170941,
query_dense_4_98,3383,3383,True,ok,0.267202,
query_dense_4_99,206759,206759,True,ok,0.161609,
query_dense_4_100,105518,105518,True,ok,0.467740,
query_dense_4_101,679436,679436,True,ok,0.176723,
query_dense_4_102,311356,311356,True,ok,0.156815,
query_dense_4_103,8432,8432,True,ok,0.271272,
query_dense_4_104,39187,39187,True,ok,0.215750,
query_dense_4_105,2285202,2285202,True,ok,0.471805,
query_dense_4_106,317898,317898,True,ok,0.155085,
query_dense_4_107,519028,519028,True,ok,0.229985,
query_dense_4_108,275658,275658,True,ok,0.158575,
query_dense_4_109,264669,264669,True,ok,0.246304,
query_dense_4_110,558602,558602,True,ok,0.211650,
query_dense_4_111,303076,303076,True,ok,0.158969,
query_dense_4_112,400944,400944,True,ok,0.160694,
query_dense_4_113,477722,477722,True,ok,0.159766,
query_dense_4_114,481499,481499,True,ok,0.201134,
query_dense_4_115,298394,298394,True,ok,0.157448,
query_dense_4_116,13063,13063,True,ok,0.180234,
query_dense_4_117,2061691,2061691,True,ok,0.538155,
query_dense_4_118,48644,48644,True,ok,0.385339,
query_dense_4_119,477786,477786,True,ok,0.236209,
query_dense_4_120,1058028,1058028,True,ok,0.309795,
query_dense_4_121,178669,178669,True,ok,0.145998,
query_dense_4_122,323513,323513,True,ok,0.162568,
query_dense_4_123,1015555,1015555,True,ok,0.276168,
query_dense_4_124,356252,356252,True,ok,0.171176,
query_dense_4_125,598187,598187,True,ok,0.199376,
query_dense_4_126,84095,84095,True,ok,0.317802,
query_dense_4_127,194963,194963,True,ok,0.145879,
query_dense_4_128,12916,12916,True,ok,0.197412,
query_dense_4_129,11490,11490,True,ok,0.194472,
query_dense_4_130,401608,401608,True,ok,0.189106,
query_dense_4_131,884220,884220,True,ok,0.256221,
query_dense_4_132,293939,293939,True,ok,0.169717,
query_dense_4_133,2180131,2180131,True,ok,0.448991,
query_dense_4_134,248357,248357,True,ok,0.155455,
query_dense_4_135,17345,17345,True,ok,0.233440,
query_dense_4_136,1226066,1226066,True,ok,0.420547,
query_dense_4_137,4170297,4170297,True,ok,0.743097,
query_dense_4_138,56340,56340,True,ok,0.289495,
query_dense_4_139,466937,466937,True,ok,0.157878,
query_dense_4_140,1305592,1305592,True,ok,0.455225,
query_dense_4_141,588010,588010,True,ok,0.184785,
query_dense_4_142,205608,205608,True,ok,0.143742,
query_dense_4_143,449331,449331,True,ok,0.180162,
query_dense_4_144,469889,469889,True,ok,0.203837,
query_dense_4_145,271008,271008,True,ok,0.175660,
query_dense_4_146,206757,206757,True,ok,0.150302,
query_dense_4_147,254073,254073,True,ok,0.164461,
query_dense_4_148,254843,254843,True,ok,0.148305,
query_dense_4_149,314491,314491,True,ok,0.156026,
query_dense_4_150,181812,181812,True,ok,0.150327,
query_dense_4_151,241591,241591,True,ok,0.151149,
query_dense_4_152,868391,868391,True,ok,0.300972,
query_dense_4_153,342742,342742,True,ok,0.155238,
query_dense_4_154,304920,304920,True,ok,0.218116,
query_dense_4_155,533789,533789,True,ok,0.232398,
query_dense_4_156,402556,402556,True,ok,0.169872,
query_dense_4_157,5491,5491,True,ok,0.221318,
query_dense_4_158,312408,312408,True,ok,0.183315,
query_dense_4_159,344595,344595,True,ok,0.170120,
query_dense_4_160,388007,388007,True,ok,0.171946,
query_dense_4_161,386479,386479,True,ok,0.206414,
query_dense_4_162,1370527,1370527,True,ok,0.410888,
query_dense_4_163,2070535,2070535,True,ok,0.451625,
query_dense_4_164,228959,228959,True,ok,0.151328,
query_dense_4_165,1001795,1001795,True,ok,0.342382,
query_dense_4_166,987966,987966,True,ok,0.218458,
query_dense_4_167,33317,33317,True,ok,0.353931,
query_dense_4_168,453923,453923,True,ok,0.175185,
query_dense_4_169,271989,271989,True,ok,0.481823,
query_dense_4_170,5264,5264,True,ok,0.210695,
query_dense_4_171,2068664,2068664,True,ok,0.548036,
query_dense_4_172,317333,317333,True,ok,0.183042,
query_dense_4_173,385937,385937,True,ok,0.177636,
query_dense_4_174,1882174,1882174,True,ok,0.407632,
query_dense_4_175,201464,201464,True,ok,0.142474,
query_dense_4_176,22248,22248,True,ok,0.196701,
query_dense_4_177,15524,15524,True,ok,0.195867,
query_dense_4_178,32166,32166,True,ok,0.228735,
query_dense_4_179,385563,385563,True,ok,0.187084,
query_dense_4_180,307674,307674,True,ok,0.182702,
query_dense_4_181,305995,305995,True,ok,0.162981,
query_dense_4_182,521398,521398,True,ok,0.213524,
query_dense_4_183,553193,553193,True,ok,0.178999,
query_dense_4_184,312380,312380,True,ok,0.167370,
query_dense_4_185,381388,381388,True,ok,0.179241,
query_dense_4_186,18592,18592,True,ok,0.194021,
query_dense_4_187,418209,418209,True,ok,0.168311,
query_dense_4_188,309453,309453,True,ok,0.154186,
query_dense_4_189,443025,443025,True,ok,0.171681,
query_dense_4_190,327757,327757,True,ok,0.592950,
query_dense_4_191,13354,13354,True,ok,0.176109,
query_dense_4_192,2285392,2285392,True,ok,0.495551,
query_dense_4_193,11140,11140,True,ok,0.204265,
query_dense_4_194,245434,245434,True,ok,0.172891,
query_dense_4_195,3477326,3477326,True,ok,0.644991,
query_dense_4_196,652487,652487,True,ok,0.197024,
query_dense_4_197,6389,6389,True,ok,0.315299,
query_dense_4_198,221382,221382,True,ok,0.163300,
query_dense_4_199,387562,387562,True,ok,0.175531,
query_dense_4_200,1467,1467,True,ok,0.378328,
