pattern_group,pattern,est_r0(+0.0),true_r0(+0.0),qerr_r0(+0.0),est_r1(+0.01),true_r1(+0.01),qerr_r1(+0.01),est_r2(+0.02),true_r2(+0.02),qerr_r2(+0.02),est_r3(+0.03),true_r3(+0.03),qerr_r3(+0.03),est_r4(+0.04),true_r4(+0.04),qerr_r4(+0.04),est_r5(+0.05),true_r5(+0.05),qerr_r5(+0.05)
L1_path,L1,3343129222,1662673006,2.01,5808765637,1686987031,3.44,11598403745,1711616842,6.78,18057615412,1737123649,10.40,35147074557,1762561121,19.94,54680428906,1788437221,30.57
L1_path,L1_PA,3691777931,388671714,9.50,7526897850,394296188,19.09,12735736640,399955945,31.84,18370093774,405845120,45.26,61783417281,411656315,150.10,0,417641204,inf
L2_chain,L2,3726596856,216673831,17.20,8572222387,227726185,37.64,19647627776,238274525,82.46,31570497536,250855375,125.85,52678451200,261516697,201.43,91494973440,273256624,334.82
L2_chain,L2_PB,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
L3_star,L3,252867853,5502799,45.96,252867853,5603686,45.13,252867853,5691556,44.43,252867853,5803428,43.57,252867853,5931039,42.64,252867853,6034014,41.91
L3_star,L3_PB,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
L4_cycle,L4,2391707,1019467,2.35,2403884,1020077,2.36,2416026,1020638,2.37,2428416,1021237,2.38,2440659,1021852,2.39,2452777,1022489,2.40
L4_cycle,L4_PA,34807,206449,5.93,38821,206575,5.32,38335,206695,5.39,64425,206808,3.21,77302,206950,2.68,1578847208,207096,7624.24
L5_triangle,L5,34558118640,706992,48881.03,518649969,712560,727.99,2821660928,714692,3947.60,171209297344,725170,236095.32,976225147,726656,1342.99,1613341044,730215,2208.81
L5_triangle,L5_PB,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
L6_cycle_branch,L6,5224561,,,,3281448638,,,,5758417,,,,5969601,,,,6128217,,,,6299545,,,
L6_cycle_branch,L6_PA,29683393298,,,,105980371,,,,95435941,,,,146198853,,,,188209262,,,,337493652,,,
